"","TIME","GEO","PRODUCT","INDIC_NRG","Value"
"230","2000","Ireland","Nuclear heat","Exports",NA
"231","2000","Ireland","Nuclear heat","Gross inland consumption",0
"232","2000","Ireland","Derived heat","Imports",0
"233","2000","Ireland","Derived heat","Exports",0
"234","2000","Ireland","Derived heat","Gross inland consumption",0
"235","2000","Ireland","Renewable energies","Imports",0
"236","2000","Ireland","Renewable energies","Exports",0
"237","2000","Ireland","Renewable energies","Gross inland consumption",9837
"238","2000","Ireland","Electrical energy","Imports",608
"239","2000","Ireland","Electrical energy","Exports",256
"240","2000","Ireland","Electrical energy","Gross inland consumption",353
"241","2000","Ireland","Waste (non-renewable)","Imports",0
"242","2000","Ireland","Waste (non-renewable)","Exports",0
"243","2000","Ireland","Waste (non-renewable)","Gross inland consumption",0
"244","2000","Greece","All products","Imports",1107464
"245","2000","Greece","All products","Exports",180031
"246","2000","Greece","All products","Gross inland consumption",1184540
"247","2000","Greece","Solid fuels","Imports",33895
"248","2000","Greece","Solid fuels","Exports",1718
"249","2000","Greece","Solid fuels","Gross inland consumption",378393
"250","2000","Greece","Total petroleum products","Imports",996648
"251","2000","Greece","Total petroleum products","Exports",172049
"252","2000","Greece","Total petroleum products","Gross inland consumption",673437
"253","2000","Greece","Gas","Imports",70696
"254","2000","Greece","Gas","Exports",0
"255","2000","Greece","Gas","Gross inland consumption",71366
"256","2000","Greece","Nuclear heat","Imports",NA
"257","2000","Greece","Nuclear heat","Exports",NA
"258","2000","Greece","Nuclear heat","Gross inland consumption",0
"259","2000","Greece","Derived heat","Imports",0
"260","2000","Greece","Derived heat","Exports",0
"261","2000","Greece","Derived heat","Gross inland consumption",0
"262","2000","Greece","Renewable energies","Imports",0
"263","2000","Greece","Renewable energies","Exports",0
"264","2000","Greece","Renewable energies","Gross inland consumption",58722
"265","2000","Greece","Electrical energy","Imports",6224
"266","2000","Greece","Electrical energy","Exports",6264
"267","2000","Greece","Electrical energy","Gross inland consumption",-40
"268","2000","Greece","Waste (non-renewable)","Imports",0
"269","2000","Greece","Waste (non-renewable)","Exports",0
"270","2000","Greece","Waste (non-renewable)","Gross inland consumption",2662
"271","2000","Spain","All products","Imports",4523419
"272","2000","Spain","All products","Exports",364169
