"","TIME","GEO","PRODUCT","Proizvodnja/zaloga"
"329","2001","Cyprus","Nuclear heat",NA
"330","2001","Cyprus","Renewable energies",1844
"331","2001","Cyprus","Solid fuels",36
"332","2001","Cyprus","Total petroleum products",-5235
"333","2001","Cyprus","Waste (non-renewable)",NA
"334","2001","Czech Republic","All products",976167
"335","2001","Czech Republic","Derived heat",-153
"336","2001","Czech Republic","Electrical energy",-68108
"337","2001","Czech Republic","Gas",12385
"338","2001","Czech Republic","Nuclear heat",NA
"339","2001","Czech Republic","Renewable energies",72759
"340","2001","Czech Republic","Solid fuels",839906
"341","2001","Czech Republic","Total petroleum products",-44556
"342","2001","Czech Republic","Waste (non-renewable)",4645
"343","2001","Denmark","All products",261087
"344","2001","Denmark","Derived heat",0
"345","2001","Denmark","Electrical energy",-31586
"346","2001","Denmark","Gas",194605
"347","2001","Denmark","Nuclear heat",NA
"348","2001","Denmark","Renewable energies",77067
"349","2001","Denmark","Solid fuels",1886
"350","2001","Denmark","Total petroleum products",4610
"351","2001","Denmark","Waste (non-renewable)",14505
"352","2001","Estonia","All products",132333
"353","2001","Estonia","Derived heat",0
"354","2001","Estonia","Electrical energy",-4025
"355","2001","Estonia","Gas",0
"356","2001","Estonia","Nuclear heat",NA
"357","2001","Estonia","Renewable energies",22631
"358","2001","Estonia","Solid fuels",110096
"359","2001","Estonia","Total petroleum products",3631
"360","2001","Estonia","Waste (non-renewable)",0
"361","2001","Euro area (19 countries)","All products",7723783
"362","2001","Euro area (19 countries)","Derived heat",-152
"363","2001","Euro area (19 countries)","Electrical energy",-647320
"364","2001","Euro area (19 countries)","Gas",2151107
"365","2001","Euro area (19 countries)","Nuclear heat",NA
"366","2001","Euro area (19 countries)","Renewable energies",2925987
"367","2001","Euro area (19 countries)","Solid fuels",3039311
"368","2001","Euro area (19 countries)","Total petroleum products",-8212915
"369","2001","Euro area (19 countries)","Waste (non-renewable)",224030
"370","2001","European Union (28 countries)","All products",19731411
"371","2001","European Union (28 countries)","Derived heat",-305
"372","2001","European Union (28 countries)","Electrical energy",-920898
"373","2001","European Union (28 countries)","Gas",6659448
"374","2001","European Union (28 countries)","Nuclear heat",NA
"375","2001","European Union (28 countries)","Renewable energies",4217602
"376","2001","European Union (28 countries)","Solid fuels",7384916
"377","2001","European Union (28 countries)","Total petroleum products",-8485607
"378","2001","European Union (28 countries)","Waste (non-renewable)",297663
"379","2001","Finland","All products",398677
"380","2001","Finland","Derived heat",0
"381","2001","Finland","Electrical energy",-6516
"382","2001","Finland","Gas",0
"383","2001","Finland","Nuclear heat",NA
"384","2001","Finland","Renewable energies",313298
"385","2001","Finland","Solid fuels",83630
"386","2001","Finland","Total petroleum products",-241268
"387","2001","Finland","Waste (non-renewable)",3585
"388","2001","France","All products",4292469
"389","2001","France","Derived heat",0
"390","2001","France","Electrical energy",-262300
"391","2001","France","Gas",75243
"392","2001","France","Nuclear heat",NA
"393","2001","France","Renewable energies",694208
"394","2001","France","Solid fuels",42116
"395","2001","France","Total petroleum products",-844852
"396","2001","France","Waste (non-renewable)",40432
"397","2001","Germany","All products",4496398
"398","2001","Germany","Derived heat",-152
"399","2001","Germany","Electrical energy",-151639
"400","2001","Germany","Gas",509370
"401","2001","Germany","Nuclear heat",NA
"402","2001","Germany","Renewable energies",403456
"403","2001","Germany","Solid fuels",2517100
"404","2001","Germany","Total petroleum products",-725891
"405","2001","Germany","Waste (non-renewable)",94060
"406","2001","Greece","All products",109372
"407","2001","Greece","Derived heat",0
"408","2001","Greece","Electrical energy",-3823
"409","2001","Greece","Gas",554
"410","2001","Greece","Nuclear heat",NA
"411","2001","Greece","Renewable energies",55201
"412","2001","Greece","Solid fuels",352511
"413","2001","Greece","Total petroleum products",-296680
"414","2001","Greece","Waste (non-renewable)",1611
"415","2001","Hungary","All products",376015
"416","2001","Hungary","Derived heat",0
"417","2001","Hungary","Electrical energy",-26035
"418","2001","Hungary","Gas",122447
"419","2001","Hungary","Nuclear heat",NA
"420","2001","Hungary","Renewable energies",36357
"421","2001","Hungary","Solid fuels",106106
"422","2001","Hungary","Total petroleum products",-17348
"423","2001","Hungary","Waste (non-renewable)",1298
"424","2001","Iceland","All products",95576
"425","2001","Iceland","Derived heat",0
"426","2001","Iceland","Electrical energy",0
"427","2001","Iceland","Gas",NA
"428","2001","Iceland","Nuclear heat",NA
"429","2001","Iceland","Renewable energies",97404
"430","2001","Iceland","Solid fuels",0
"431","2001","Iceland","Total petroleum products",-1856
"432","2001","Iceland","Waste (non-renewable)",28
"433","2001","Ireland","All products",-620
"434","2001","Ireland","Derived heat",0
"435","2001","Ireland","Electrical energy",-1037
"436","2001","Ireland","Gas",27575
"437","2001","Ireland","Nuclear heat",NA
"438","2001","Ireland","Renewable energies",9790
"439","2001","Ireland","Solid fuels",35458
"440","2001","Ireland","Total petroleum products",-72406
"441","2001","Ireland","Waste (non-renewable)",0
"442","2001","Italy","All products",211481
"443","2001","Italy","Derived heat",0
"444","2001","Italy","Electrical energy",-1977
"445","2001","Italy","Gas",554264
"446","2001","Italy","Nuclear heat",NA
"447","2001","Italy","Renewable energies",409163
"448","2001","Italy","Solid fuels",-8558
"449","2001","Italy","Total petroleum products",-753696
"450","2001","Italy","Waste (non-renewable)",12284
"451","2001","Latvia","All products",53938
"452","2001","Latvia","Derived heat",0
"453","2001","Latvia","Electrical energy",-1645
"454","2001","Latvia","Gas",7653
"455","2001","Latvia","Nuclear heat",NA
"456","2001","Latvia","Renewable energies",54514
"457","2001","Latvia","Solid fuels",2384
"458","2001","Latvia","Total petroleum products",-8968
"459","2001","Latvia","Waste (non-renewable)",0
"460","2001","Lithuania","All products",-61499
"461","2001","Lithuania","Derived heat",0
"462","2001","Lithuania","Electrical energy",-30261
"463","2001","Lithuania","Gas",67
"464","2001","Lithuania","Nuclear heat",NA
"465","2001","Lithuania","Renewable energies",30554
"466","2001","Lithuania","Solid fuels",733
"467","2001","Lithuania","Total petroleum products",-187514
"468","2001","Lithuania","Waste (non-renewable)",0
"469","2001","Luxembourg","All products",-968
"470","2001","Luxembourg","Derived heat",0
"471","2001","Luxembourg","Electrical energy",-3841
"472","2001","Luxembourg","Gas",0
"473","2001","Luxembourg","Nuclear heat",NA
"474","2001","Luxembourg","Renewable energies",1673
"475","2001","Luxembourg","Solid fuels",0
"476","2001","Luxembourg","Total petroleum products",-144
"477","2001","Luxembourg","Waste (non-renewable)",1343
"478","2001","Malta","All products",-29971
"479","2001","Malta","Derived heat",0
"480","2001","Malta","Electrical energy",0
"481","2001","Malta","Gas",NA
"482","2001","Malta","Nuclear heat",NA
"483","2001","Malta","Renewable energies",0
"484","2001","Malta","Solid fuels",NA
"485","2001","Malta","Total petroleum products",-29971
"486","2001","Malta","Waste (non-renewable)",0
"487","2001","Netherlands","All products",-2613434
"488","2001","Netherlands","Derived heat",0
"489","2001","Netherlands","Electrical energy",-15152
"490","2001","Netherlands","Gas",860913
"491","2001","Netherlands","Nuclear heat",NA
"492","2001","Netherlands","Renewable energies",57825
"493","2001","Netherlands","Solid fuels",-441251
"494","2001","Netherlands","Total petroleum products",-3143168
"495","2001","Netherlands","Waste (non-renewable)",24459
"496","2001","Norway","All products",875749
"497","2001","Norway","Derived heat",0
"498","2001","Norway","Electrical energy",-25826
"499","2001","Norway","Gas",257977
"500","2001","Norway","Nuclear heat",NA
"501","2001","Norway","Renewable energies",480972
"502","2001","Norway","Solid fuels",2700
"503","2001","Norway","Total petroleum products",156610
"504","2001","Norway","Waste (non-renewable)",3317
"505","2001","Poland","All products",2484640
"506","2001","Poland","Derived heat",0
"507","2001","Poland","Electrical energy",-39726
"508","2001","Poland","Gas",132658
"509","2001","Poland","Nuclear heat",NA
"510","2001","Poland","Renewable energies",170434
"511","2001","Poland","Solid fuels",2279037
"512","2001","Poland","Total petroleum products",-61964
"513","2001","Poland","Waste (non-renewable)",4200
"514","2001","Portugal","All products",71035
"515","2001","Portugal","Derived heat",0
"516","2001","Portugal","Electrical energy",-12608
"517","2001","Portugal","Gas",321
"518","2001","Portugal","Nuclear heat",NA
"519","2001","Portugal","Renewable energies",167872
"520","2001","Portugal","Solid fuels",9424
"521","2001","Portugal","Total petroleum products",-97627
"522","2001","Portugal","Waste (non-renewable)",3654
"523","2001","Romania","All products",1013198
"524","2001","Romania","Derived heat",0
"525","2001","Romania","Electrical energy",-7477
"526","2001","Romania","Gas",455164
"527","2001","Romania","Nuclear heat",NA
"528","2001","Romania","Renewable energies",143323
"529","2001","Romania","Solid fuels",223754
"530","2001","Romania","Total petroleum products",130205
"531","2001","Romania","Waste (non-renewable)",9413
"532","2001","Slovakia","All products",117468
"533","2001","Slovakia","Derived heat",0
"534","2001","Slovakia","Electrical energy",-35075
"535","2001","Slovakia","Gas",21045
"536","2001","Slovakia","Nuclear heat",NA
"537","2001","Slovakia","Renewable energies",32125
"538","2001","Slovakia","Solid fuels",33855
"539","2001","Slovakia","Total petroleum products",-123266
"540","2001","Slovakia","Waste (non-renewable)",1966
"541","2001","Slovenia","All products",116061
"542","2001","Slovenia","Derived heat",0
"543","2001","Slovenia","Electrical energy",-17733
"544","2001","Slovenia","Gas",216
"545","2001","Slovenia","Nuclear heat",NA
"546","2001","Slovenia","Renewable energies",32503
"547","2001","Slovenia","Solid fuels",48923
"548","2001","Slovenia","Total petroleum products",-4630
"549","2001","Slovenia","Waste (non-renewable)",8
"550","2001","Spain","All products",826035
"551","2001","Spain","Derived heat",0
"552","2001","Spain","Electrical energy",-24217
"553","2001","Spain","Gas",25393
"554","2001","Spain","Nuclear heat",NA
"555","2001","Spain","Renewable energies",341499
"556","2001","Spain","Solid fuels",314277
"557","2001","Spain","Total petroleum products",-524797
"558","2001","Spain","Waste (non-renewable)",5833
"559","2001","Sweden","All products",825583
"560","2001","Sweden","Derived heat",0
"561","2001","Sweden","Electrical energy",-66434
"562","2001","Sweden","Gas",1753
"563","2001","Sweden","Nuclear heat",NA
"564","2001","Sweden","Renewable energies",595776
"565","2001","Sweden","Solid fuels",11355
"566","2001","Sweden","Total petroleum products",-509239
"567","2001","Sweden","Waste (non-renewable)",13596
"568","2001","United Kingdom","All products",5640799
"569","2001","United Kingdom","Derived heat",0
"570","2001","United Kingdom","Electrical energy",-951
"571","2001","United Kingdom","Gas",3529145
"572","2001","United Kingdom","Nuclear heat",NA
"573","2001","United Kingdom","Renewable energies",95239
"574","2001","United Kingdom","Solid fuels",687654
"575","2001","United Kingdom","Total petroleum products",330963
"576","2001","United Kingdom","Waste (non-renewable)",25733
"577","2002","Austria","All products",265446
"578","2002","Austria","Derived heat",0
"579","2002","Austria","Electrical energy",-52834
"580","2002","Austria","Gas",56066
"581","2002","Austria","Nuclear heat",NA
"582","2002","Austria","Renewable energies",264511
"583","2002","Austria","Solid fuels",12056
"584","2002","Austria","Total petroleum products",-29159
"585","2002","Austria","Waste (non-renewable)",14806
"586","2002","Belgium","All products",-741012
"587","2002","Belgium","Derived heat",0
"588","2002","Belgium","Electrical energy",-32652
"589","2002","Belgium","Gas",-11513
"590","2002","Belgium","Nuclear heat",NA
"591","2002","Belgium","Renewable energies",24109
"592","2002","Belgium","Solid fuels",-20625
"593","2002","Belgium","Total petroleum products",-1232266
"594","2002","Belgium","Waste (non-renewable)",20447
"595","2002","Bulgaria","All products",323430
"596","2002","Bulgaria","Derived heat",0
"597","2002","Bulgaria","Electrical energy",-30006
"598","2002","Bulgaria","Gas",-4019
"599","2002","Bulgaria","Nuclear heat",NA
"600","2002","Bulgaria","Renewable energies",34667
"601","2002","Bulgaria","Solid fuels",172834
"602","2002","Bulgaria","Total petroleum products",-69442
"603","2002","Bulgaria","Waste (non-renewable)",315
"604","2002","Croatia","All products",85989
"605","2002","Croatia","Derived heat",0
"606","2002","Croatia","Electrical energy",-3211
"607","2002","Croatia","Gas",62155
"608","2002","Croatia","Nuclear heat",NA
"609","2002","Croatia","Renewable energies",64989
"610","2002","Croatia","Solid fuels",-287
"611","2002","Croatia","Total petroleum products",-37826
"612","2002","Croatia","Waste (non-renewable)",169
"613","2002","Cyprus","All products",-5747
"614","2002","Cyprus","Derived heat",0
"615","2002","Cyprus","Electrical energy",0
"616","2002","Cyprus","Gas",NA
"617","2002","Cyprus","Nuclear heat",NA
"618","2002","Cyprus","Renewable energies",1873
"619","2002","Cyprus","Solid fuels",169
