"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Total petroleum products","Imports","6 196 207"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Total petroleum products","Exports","924 262"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Total petroleum products","Gross inland consumption","5 483 851"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Gas","Imports","2 557 527"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Gas","Exports","176 693"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Gas","Gross inland consumption","3 009 370"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Nuclear heat","Imports",":"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Nuclear heat","Exports",":"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Nuclear heat","Gross inland consumption","1 831 745"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Derived heat","Imports","0"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Derived heat","Exports","144"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Derived heat","Gross inland consumption","-144"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Renewable energies","Imports","0"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Renewable energies","Exports","0"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Renewable energies","Gross inland consumption","376 113"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Imports","162 482"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Exports","151 477"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Gross inland consumption","11 005"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Industrial wastes","Imports","0"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Industrial wastes","Exports","0"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Industrial wastes","Gross inland consumption","43 047"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Waste (non-renewable)","Imports","0"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Waste (non-renewable)","Exports","0"
"2000","Germany (until 1990 former territory of the FRG)","Terajoule","Waste (non-renewable)","Gross inland consumption","70 391"
"2000","Estonia","Terajoule","All products","Imports","81 534"
"2000","Estonia","Terajoule","All products","Exports","13 158"
"2000","Estonia","Terajoule","All products","Gross inland consumption","208 218"
"2000","Estonia","Terajoule","Solid fuels","Imports","13 686"
"2000","Estonia","Terajoule","Solid fuels","Exports","2 402"
"2000","Estonia","Terajoule","Solid fuels","Gross inland consumption","124 247"
"2000","Estonia","Terajoule","Total petroleum products","Imports","38 784"
"2000","Estonia","Terajoule","Total petroleum products","Exports","5 876"
"2000","Estonia","Terajoule","Total petroleum products","Gross inland consumption","38 126"
"2000","Estonia","Terajoule","Gas","Imports","27 717"
"2000","Estonia","Terajoule","Gas","Exports","0"
"2000","Estonia","Terajoule","Gas","Gross inland consumption","27 717"
"2000","Estonia","Terajoule","Nuclear heat","Imports",":"
"2000","Estonia","Terajoule","Nuclear heat","Exports",":"
"2000","Estonia","Terajoule","Nuclear heat","Gross inland consumption","0"
"2000","Estonia","Terajoule","Derived heat","Imports","0"
"2000","Estonia","Terajoule","Derived heat","Exports","0"
"2000","Estonia","Terajoule","Derived heat","Gross inland consumption","0"
"2000","Estonia","Terajoule","Renewable energies","Imports","0"
"2000","Estonia","Terajoule","Renewable energies","Exports","190"
"2000","Estonia","Terajoule","Renewable energies","Gross inland consumption","21 472"
"2000","Estonia","Terajoule","Electrical energy","Imports","1 346"
"2000","Estonia","Terajoule","Electrical energy","Exports","4 691"
"2000","Estonia","Terajoule","Electrical energy","Gross inland consumption","-3 344"
"2000","Estonia","Terajoule","Industrial wastes","Imports","0"
"2000","Estonia","Terajoule","Industrial wastes","Exports","0"
"2000","Estonia","Terajoule","Industrial wastes","Gross inland consumption","0"
"2000","Estonia","Terajoule","Waste (non-renewable)","Imports","0"
"2000","Estonia","Terajoule","Waste (non-renewable)","Exports","0"
"2000","Estonia","Terajoule","Waste (non-renewable)","Gross inland consumption","0"
"2000","Ireland","Terajoule","All products","Imports","575 532"
"2000","Ireland","Terajoule","All products","Exports","57 623"
"2000","Ireland","Terajoule","All products","Gross inland consumption","603 998"
"2000","Ireland","Terajoule","Solid fuels","Imports","71 044"
"2000","Ireland","Terajoule","Solid fuels","Exports","649"
"2000","Ireland","Terajoule","Solid fuels","Gross inland consumption","108 907"
"2000","Ireland","Terajoule","Total petroleum products","Imports","400 147"
"2000","Ireland","Terajoule","Total petroleum products","Exports","56 718"
"2000","Ireland","Terajoule","Total petroleum products","Gross inland consumption","341 046"
"2000","Ireland","Terajoule","Gas","Imports","103 733"
"2000","Ireland","Terajoule","Gas","Exports","0"
"2000","Ireland","Terajoule","Gas","Gross inland consumption","143 856"
"2000","Ireland","Terajoule","Nuclear heat","Imports",":"
"2000","Ireland","Terajoule","Nuclear heat","Exports",":"
"2000","Ireland","Terajoule","Nuclear heat","Gross inland consumption","0"
"2000","Ireland","Terajoule","Derived heat","Imports","0"
"2000","Ireland","Terajoule","Derived heat","Exports","0"
"2000","Ireland","Terajoule","Derived heat","Gross inland consumption","0"
"2000","Ireland","Terajoule","Renewable energies","Imports","0"
"2000","Ireland","Terajoule","Renewable energies","Exports","0"
"2000","Ireland","Terajoule","Renewable energies","Gross inland consumption","9 837"
